"","miRNA","mRNA"
"1","miR-20a-5p","HIF1A"
"2","miR-146a-5p","CXCR4"
"3","miR-122-5p","CYP7A1"
"4","miR-222-3p","STAT5A"
"5","miR-21-5p","RASGRP1"
"6","miR-148a-3p","DNMT1"
"7","miR-93-5p","TP53INP1"
"8","miR-9-5p","MMP13"
"9","miR-9-5p","REST"
"10","miR-9-5p","CDH1"
"11","miR-765","NTRK3"
"12","miR-7-5p","SNCA"
"13","miR-661","MTA1"
"14","miR-659-3p","GRN"
"15","miR-562","EYA1"
"16","miR-559","ERBB2"
"17","miR-548d-3p","ERBB2"
"18","miR-532-5p","RUNX3"
"19","miR-504-5p","DRD1"
"20","miR-485-3p","NTRK3"
"21","miR-451a","MIF"
"22","miR-429","ZEB2"
"23","miR-375","TIMM8A"
"24","miR-375","MTPN"
"25","miR-375","PDK1"
"26","miR-373-3p","RAD23B"
"27","miR-372-3p","WEE1"
"28","miR-372-3p","TRPS1"
"29","miR-372-3p","MBNL2"
"30","miR-372-3p","KLF13"
"31","miR-34b-5p","BCL2"
"32","miR-34b-5p","CREB1"
"33","miR-34a-5p","BIRC3"
"34","miR-34a-5p","GRM7"
"35","miR-34a-5p","JAG1"
"36","miR-346","EFEMP2"
"37","miR-328-3p","BACE1"
"38","miR-328-3p","ABCG2"
"39","miR-326","GLI1"
"40","miR-31-5p","RHOA"
"41","miR-302d-3p","TRPS1"
"42","miR-302d-3p","MBNL2"
"43","miR-302d-3p","KLF13"
"44","miR-29b-3p","TGFB3"
"45","miR-29b-3p","HDAC4"
"46","miR-29b-3p","CTNNBIP1"
"47","miR-29b-3p","COL5A3"
"48","miR-29b-3p","COL4A2"
"49","miR-29b-3p","COL1A1"
"50","miR-298","BACE1"
"51","miR-27a-3p","RUNX1"
"52","miR-26a-5p","HMGA2"
"53","miR-26a-5p","HMGA1"
"54","miR-26a-5p","CCNE2"
"55","miR-26a-5p","CCND2"
"56","miR-24-3p","FEN1"
"57","miR-24-3p","CDK4"
"58","miR-24-3p","CCNA2"
"59","miR-24-3p","AURKB"
"60","miR-24-3p","MYC"
"61","miR-24-3p","E2F2"
"62","miR-223-3p","MEF2C"
"63","miR-223-3p","STMN1"
"64","miR-223-3p","LMO2"
"65","miR-222-3p","CDKN1B"
"66","miR-222-3p","BCL2L11"
"67","miR-222-3p","SOD2"
"68","miR-222-3p","MMP1"
"69","miR-221-3p","CDKN1B"
"70","miR-221-3p","BCL2L11"
"71","miR-221-3p","BMF"
"72","miR-217","SIRT1"
"73","miR-214-3p","EZH2"
"74","miR-210-3p","HOXA9"
"75","miR-210-3p","TP53I11"
"76","miR-210-3p","PIM1"
"77","miR-210-3p","HOXA1"
"78","miR-210-3p","FGFRL1"
"79","miR-210-3p","RAD52"
"80","miR-21-5p","CDC25A"
"81","miR-21-5p","BCL2"
"82","miR-21-5p","PYM1"
"83","miR-21-5p","WFS1"
"84","miR-21-5p","TM9SF3"
"85","miR-21-5p","RTN4"
"86","miR-21-5p","RPS7"
"87","miR-21-5p","PLOD3"
"88","miR-21-5p","PDHA2"
"89","miR-21-5p","NCAPG"
"90","miR-21-5p","DERL1"
"91","miR-21-5p","BASP1"
"92","miR-21-5p","JAG1"
"93","miR-21-5p","REST"
"94","miR-20a-5p","TCEAL1"
"95","miR-20a-5p","CCND1"
"96","miR-20a-5p","E2F1"
"97","miR-20a-5p","BMPR2"
"98","miR-206","MET"
"99","miR-204-5p","MEIS1"
"100","miR-204-5p","HOXA10"
"101","miR-204-5p","BCL2"
"102","miR-200c-3p","TUBB3"
"103","miR-200c-3p","BMI1"
"104","miR-200b-3p","PTPN12"
"105","miR-200a-3p","DLX5"
"106","miR-199b-5p","HES1"
"107","miR-197-3p","TSPAN3"
"108","miR-197-3p","ACVR1"
"109","miR-196a-5p","SPRR2C"
"110","miR-196a-5p","S100A9"
"111","miR-196a-5p","KRT5"
"112","miR-195-5p","WEE1"
"113","miR-195-5p","E2F3"
"114","miR-195-5p","CDK6"
"115","miR-195-5p","CCND1"
"116","miR-18a-3p","KRAS"
"117","miR-181c-5p","NLK"
"118","miR-181c-5p","GATA6"
"119","miR-181c-5p","CDX2"
"120","miR-181b-5p","NLK"
"121","miR-181b-5p","GATA6"
"122","miR-181b-5p","CDX2"
"123","miR-181a-5p","NLK"
"124","miR-181a-5p","GATA6"
"125","miR-181a-5p","CDX2"
"126","miR-17-5p","ZNFX1"
"127","miR-17-5p","CCL1"
"128","miR-17-5p","GPR137B"
"129","miR-17-5p","NABP1"
"130","miR-17-5p","NPAT"
"131","miR-17-5p","YES1"
"132","miR-16-5p","BMI1"
"133","miR-16-5p","CDK1"
"134","miR-16-5p","HMGA1"
"135","miR-15b-5p","CCNE1"
"136","miR-15a-5p","BMI1"
"137","miR-15a-5p","WNT3A"
"138","miR-15a-5p","MYB"
"139","miR-15a-5p","CDC25A"
"140","miR-15a-5p","CCND2"
"141","miR-155-5p","MEIS1"
"142","miR-155-5p","TAB2"
"143","miR-153-3p","BCL2"
"144","miR-152-3p","HLA-G"
"145","miR-148b-3p","HLA-G"
"146","miR-148a-3p","HLA-G"
"147","miR-148a-3p","TGIF2"
"148","miR-146a-5p","CFH"
"149","miR-146a-5p","IRAK2"
"150","miR-145-5p","BNIP3"
"151","miR-145-5p","KLF5"
"152","miR-145-5p","SOX2"
"153","miR-145-5p","KLF4"
"154","miR-143-3p","KRAS"
"155","miR-141-3p","ZEB2"
"156","miR-141-3p","ZEB1"
"157","miR-141-3p","DLX5"
"158","miR-133a-3p","CDC42"
"159","miR-133a-3p","HCN4"
"160","miR-133a-3p","UCP2"
"161","miR-133a-3p","KRT7"
"162","miR-132-3p","SIRT1"
"163","miR-130b-3p","TP53INP1"
"164","miR-128-3p","NTRK3"
"165","miR-126-3p","SPRED1"
"166","miR-126-3p","PLK2"
"167","miR-125b-5p","BMPR1B"
"168","miR-125b-5p","EIF4EBP1"
"169","miR-125b-5p","HMGA2"
"170","miR-125b-5p","HMGA1"
"171","miR-125b-5p","GLI1"
"172","miR-124-3p","SOX9"
"173","miR-124-3p","BDNF"
"174","miR-122-5p","IGF1R"
"175","miR-122-5p","SRF"
"176","miR-107","PLAG1"
"177","miR-106b-5p","ITCH"
"178","miR-106b-5p","APP"
"179","miR-106a-5p","E2F1"
"180","miR-101-3p","MYCN"
"181","miR-101-3p","ATXN1"
"182","miR-101-3p","EZH2"
"183","miR-100-5p","PLK1"
"184","miR-1-3p","MYEF2"
"185","miR-1-3p","CDK9"
"186","miR-1-3p","CEBPA"
"187","miR-1-3p","MEF2A"
"188","miR-1-3p","GATA4"
"189","let-7g-5p","KRAS"
"190","let-7c-5p","CDC25A"
"191","let-7a-5p","CDK6"
"192","let-7a-5p","MYC"
"193","let-7a-5p","BCL2"
"194","miR-184","AKT2"
"195","miR-145-5p","MUC1"
"196","miR-101-3p","APP"
"197","miR-222-3p","FOXO3"
"198","miR-221-3p","FOXO3"
"199","miR-802","MECP2"
"200","miR-155-5p","MECP2"
"201","miR-29b-3p","SP1"
"202","miR-650","ING4"
"203","miR-146a-5p","TLR2"
"204","miR-224-5p","KLK10"
"205","let-7f-5p","KLK10"
"206","miR-155-5p","SOCS1"
"207","miR-145-5p","MYO6"
"208","miR-143-3p","MYO6"
"209","miR-155-5p","MSH6"
"210","miR-155-5p","MSH2"
"211","miR-155-5p","MLH1"
"212","miR-125b-5p","NKIRAS2"
"213","let-7a-5p","NKIRAS2"
"214","miR-422a","CYP8B1"
"215","miR-422a","CYP7A1"
"216","let-7g-5p","COL1A2"
"217","miR-1296-5p","MCM2"
"218","let-7g-5p","MYC"
"219","miR-124-3p","EFNB1"
"220","miR-193b-3p","CCND1"
"221","miR-217","ROBO1"
"222","miR-17-5p","JAK1"
"223","miR-31-5p","PPP2R2A"
"224","miR-31-5p","LATS2"
"225","miR-138-5p","ARHGEF3"
"226","miR-138-5p","ROCK2"
"227","miR-138-5p","RHOC"
"228","miR-519c-3p","HIF1A"
"229","miR-20b-5p","STAT3"
"230","miR-20b-5p","HIF1A"
"231","miR-17-5p","PTEN"
"232","miR-451a","CAB39"
"233","miR-125b-5p","SMO"
"234","miR-326","SMO"
"235","miR-324-5p","SMO"
"236","miR-324-5p","GLI1"
"237","miR-217","PTEN"
"238","miR-216a-5p","PTEN"
"239","miR-125b-5p","TP53"
"240","miR-16-5p","ACVR2A"
"241","miR-942-5p","CDKN1A"
"242","miR-145-5p","CDKN1A"
"243","miR-182-5p","CDKN1A"
"244","miR-93-5p","CDKN1A"
"245","miR-657","CDKN1A"
"246","miR-654-3p","CDKN1A"
"247","miR-639","CDKN1A"
"248","miR-572","CDKN1A"
"249","miR-520h","CDKN1A"
"250","miR-520b","CDKN1A"
"251","miR-520a-3p","CDKN1A"
"252","miR-519e-3p","CDKN1A"
"253","miR-519d-3p","CDKN1A"
"254","miR-519b-3p","CDKN1A"
"255","miR-515-3p","CDKN1A"
"256","miR-423-3p","CDKN1A"
"257","miR-372-3p","CDKN1A"
"258","miR-363-3p","CDKN1A"
"259","miR-345-5p","CDKN1A"
"260","miR-299-5p","CDKN1A"
"261","miR-298","CDKN1A"
"262","miR-28-5p","CDKN1A"
"263","miR-20b-5p","CDKN1A"
"264","miR-20a-5p","CDKN1A"
"265","miR-208b-3p","CDKN1A"
"266","miR-208a-3p","CDKN1A"
"267","miR-17-5p","CDKN1A"
"268","miR-132-3p","CDKN1A"
"269","miR-125a-5p","CDKN1A"
"270","miR-106b-5p","CDKN1A"
"271","miR-373-3p","RECK"
"272","miR-15b-5p","RECK"
"273","miR-145-5p","STAT1"
"274","miR-145-5p","YES1"
"275","miR-519d-3p","PPARA"
"276","miR-155-5p","INPP5D"
"277","miR-223-3p","E2F1"
"278","miR-224-5p","CXCR4"
"279","miR-224-5p","CDC42"
"280","miR-181b-5p","TIMP3"
"281","miR-146a-5p","FADD"
"282","miR-9-5p","POU2F2"
"283","miR-9-5p","BCL6"
"284","miR-9-5p","ETS1"
"285","miR-503-5p","CDKN1A"
"286","miR-503-5p","CCNF"
"287","miR-503-5p","WEE1"
"288","miR-503-5p","CCNE2"
"289","miR-503-5p","CCNE1"
"290","miR-503-5p","CHEK1"
"291","miR-503-5p","CDC25A"
"292","miR-503-5p","AGO1"
"293","miR-503-5p","ATF6"
"294","miR-503-5p","ANLN"
"295","miR-503-5p","CDC14A"
"296","miR-424-5p","CCNF"
"297","miR-424-5p","CDC14A"
"298","miR-424-5p","CDC25A"
"299","miR-424-5p","CHEK1"
"300","miR-424-5p","KIF23"
"301","miR-424-5p","ATF6"
"302","miR-424-5p","WEE1"
"303","miR-424-5p","ANLN"
"304","miR-122-5p","RAC1"
"305","miR-206","NOTCH3"
"306","miR-335-5p","TNC"
"307","miR-7-5p","PAK1"
"308","miR-378a-3p","SUFU"
"309","miR-182-5p","FOXO3"
"310","miR-21-5p","SPRY2"
"311","miR-145-5p","CBFB"
"312","miR-145-5p","PPP3CA"
"313","miR-145-5p","CLINT1"
"314","miR-29a-3p","CDK6"
"315","miR-29b-3p","CDK6"
"316","let-7c-5p","TGFBR1"
"317","miR-140-5p","HDAC4"
"318","miR-34a-5p","MYC"
"319","miR-424-5p","PLAG1"
"320","miR-181b-5p","PLAG1"
"321","miR-181a-5p","PLAG1"
"322","miR-302c-3p","ESR1"
"323","miR-206","ESR1"
"324","miR-193b-3p","ESR1"
"325","miR-18b-5p","ESR1"
"326","miR-18a-5p","ESR1"
"327","miR-135a-5p","JAK2"
"328","let-7a-5p","ITGB3"
"329","miR-196a-5p","ANXA1"
"330","miR-146a-5p","TRAF6"
"331","miR-146a-5p","IRAK1"
"332","miR-143-3p","DNMT3A"
"333","miR-122-5p","RHOA"
"334","miR-330-3p","E2F1"
"335","miR-222-3p","CDKN1C"
"336","miR-34a-5p","MYB"
"337","miR-373-3p","VEGFA"
"338","miR-302d-3p","VEGFA"
"339","miR-200b-3p","ZEB2"
"340","miR-200b-3p","BAP1"
"341","miR-200c-3p","GEMIN2"
"342","miR-200c-3p","BAP1"
"343","miR-141-3p","BAP1"
"344","miR-200a-3p","BAP1"
"345","miR-145-5p","IRS1"
"346","miR-145-5p","PARP8"
"347","miR-34c-5p","MYB"
"348","miR-34b-5p","MYB"
"349","miR-34a-5p","HMGA2"
"350","miR-34a-5p","E2F5"
"351","miR-34a-5p","CDC25C"
"352","miR-34c-5p","CAV1"
"353","miR-34b-5p","CAV1"
"354","miR-34c-5p","MET"
"355","miR-34b-5p","MET"
"356","miR-34a-5p","MET"
"357","miR-34c-5p","E2F3"
"358","miR-34b-5p","CDK6"
"359","miR-34a-5p","CDK4"
"360","miR-34b-5p","CDK4"
"361","miR-34c-5p","CDK4"
"362","miR-34c-5p","CCNE2"
"363","miR-34b-5p","CCNE2"
"364","miR-34a-5p","CCNE2"
"365","miR-224-5p","RAB9B"
"366","miR-224-5p","PDGFRB"
"367","miR-200a-3p","G3BP2"
"368","miR-200a-3p","PCDH8"
"369","miR-200a-3p","RAB30"
"370","miR-199a-3p","ETS2"
"371","miR-199a-3p","MECP2"
"372","miR-199a-3p","MED6"
"373","miR-199a-3p","JUNB"
"374","miR-195-5p","BCL2L11"
"375","miR-18a-5p","IGF2BP2"
"376","miR-195-5p","MECP2"
"377","miR-138-5p","SLC45A3"
"378","miR-126-3p","SLC45A3"
"379","miR-214-3p","PTEN"
"380","miR-107","BACE1"
"381","miR-16-5p","RAB9B"
"382","miR-15a-5p","RAB9B"
"383","miR-16-5p","ACTR1A"
"384","miR-15a-5p","ACTR1A"
"385","miR-16-5p","TPI1"
"386","miR-15a-5p","TPI1"
"387","miR-16-5p","PDCD4"
"388","miR-15a-5p","PDCD4"
"389","miR-16-5p","RAB21"
"390","miR-15a-5p","RAB21"
"391","miR-15a-5p","BCL2"
"392","miR-16-5p","WT1"
"393","miR-15a-5p","WT1"
"394","miR-16-5p","ASXL2"
"395","miR-15a-5p","ASXL2"
"396","miR-16-5p","TMEM251"
"397","miR-15a-5p","TMEM251"
"398","miR-16-5p","CARD8"
"399","miR-15a-5p","CARD8"
"400","miR-16-5p","CDC14B"
"401","miR-15a-5p","CDC14B"
"402","miR-16-5p","CENPJ"
"403","miR-15a-5p","CENPJ"
"404","miR-16-5p","CEP63"
"405","miR-15a-5p","CEP63"
"406","miR-16-5p","CREBL2"
"407","miR-15a-5p","CREBL2"
"408","miR-16-5p","ECHDC1"
"409","miR-15a-5p","ECHDC1"
"410","miR-16-5p","GOLGA5"
"411","miR-15a-5p","GOLGA5"
"412","miR-16-5p","GOLPH3L"
"413","miR-15a-5p","GOLPH3L"
"414","miR-16-5p","GTF2H1"
"415","miR-15a-5p","GTF2H1"
"416","miR-16-5p","H3F3B"
"417","miR-15a-5p","H3F3B"
"418","miR-16-5p","HACE1"
"419","miR-15a-5p","HACE1"
"420","miR-16-5p","HDHD2"
"421","miR-15a-5p","HDHD2"
"422","miR-16-5p","HERC6"
"423","miR-15a-5p","HERC6"
"424","miR-16-5p","RIDA"
"425","miR-15a-5p","RIDA"
"426","miR-16-5p","HSDL2"
"427","miR-15a-5p","HSDL2"
"428","miR-15a-5p","HSPA1A"
"429","miR-16-5p","JUN"
"430","miR-15a-5p","JUN"
"431","miR-16-5p","MCL1"
"432","miR-15a-5p","MCL1"
"433","miR-16-5p","MSH2"
"434","miR-15a-5p","MSH2"
"435","miR-16-5p","OMA1"
"436","miR-15a-5p","OMA1"
"437","miR-16-5p","OSGEPL1"
"438","miR-15a-5p","OSGEPL1"
"439","miR-16-5p","PDCD6IP"
"440","miR-15a-5p","PDCD6IP"
"441","miR-16-5p","PHKB"
"442","miR-15a-5p","PHKB"
"443","miR-16-5p","PMS1"
"444","miR-15a-5p","PMS1"
"445","miR-16-5p","PNN"
"446","miR-15a-5p","PNN"
"447","miR-16-5p","PRIM1"
"448","miR-15a-5p","PRIM1"
"449","miR-16-5p","RAD51C"
"450","miR-15a-5p","RAD51C"
"451","miR-16-5p","RHOT1"
"452","miR-15a-5p","RHOT1"
"453","miR-16-5p","RNASEL"
"454","miR-15a-5p","RNASEL"
"455","miR-16-5p","SLC35A1"
"456","miR-15a-5p","SLC35A1"
"457","miR-16-5p","SLC35B3"
"458","miR-15a-5p","SLC35B3"
"459","miR-16-5p","TIA1"
"460","miR-15a-5p","TIA1"
"461","miR-16-5p","UGDH"
"462","miR-15a-5p","UGDH"
"463","miR-16-5p","UGP2"
"464","miR-15a-5p","UGP2"
"465","miR-16-5p","ZNF559"
"466","miR-15a-5p","ZNF559"
"467","miR-29c-3p","COL3A1"
"468","miR-29c-3p","COL1A1"
"469","miR-29b-3p","BACE1"
"470","miR-1-3p","HCN4"
"471","miR-150-5p","MYB"
"472","miR-424-5p","CCNE1"
"473","miR-424-5p","CCND3"
"474","miR-424-5p","CDK6"
"475","miR-16-5p","CDK6"
"476","miR-16-5p","CCND3"
"477","miR-424-5p","CCND1"
"478","miR-146a-5p","ROCK1"
"479","miR-203a-3p","UVRAG"
"480","miR-21-5p","TIMP3"
"481","miR-148a-3p","DNMT3B"
"482","miR-16-1-3p","CCND1"
"483","miR-130a-3p","HOXA5"
"484","miR-21-5p","SOX5"
"485","miR-21-5p","MTAP"
"486","miR-126-3p","CCNE2"
"487","miR-126-3p","RGS3"
"488","miR-126-3p","TOM1"
"489","miR-21-5p","RECK"
"490","miR-155-5p","DET1"
"491","miR-155-5p","SMAD5"
"492","miR-155-5p","HIVEP2"
"493","miR-155-5p","ZNF652"
"494","miR-155-5p","ZIC3"
"495","miR-17-5p","PTPRO"
"496","miR-15b-5p","BCL2"
"497","miR-34a-5p","MYCN"
"498","miR-32-5p","PRMT5"
"499","miR-25-3p","PRMT5"
"500","miR-328-3p","CD44"
"501","miR-377-3p","PPM1A"
"502","miR-377-3p","PAK1"
"503","miR-377-3p","SOD1"
"504","miR-377-3p","SOD2"
"505","miR-519c-3p","ABCG2"
"506","miR-34a-5p","CCND3"
"507","miR-34a-5p","CDC25A"
"508","miR-34a-5p","CDK6"
"509","miR-34a-5p","CCND1"
"510","miR-26a-5p","CDK8"
"511","miR-26a-5p","CDC6"
"512","miR-200a-3p","ZEB2"
"513","miR-200c-3p","ZEB2"
"514","miR-125b-5p","LIF"
"515","miR-26a-5p","LIF"
"516","miR-346","LIF"
"517","miR-196b-5p","HOXB8"
"518","miR-155-5p","BACH1"
"519","miR-1-3p","HDAC4"
"520","miR-1-3p","FOXP1"
"521","miR-218-5p","MBNL2"
"522","miR-218-5p","EFNA1"
"523","miR-218-5p","NUP93"
"524","miR-218-5p","MRPS27"
"525","miR-218-5p","EBP"
"526","miR-218-5p","LAMB3"
"527","miR-128-3p","DCX"
"528","miR-128-3p","RELN"
"529","miR-370-3p","MAP3K8"
"530","miR-155-5p","JARID2"
"531","miR-133b","BCL2L2"
"532","miR-182-5p","FOXO1"
"533","miR-96-5p","FOXO1"
"534","miR-27a-3p","FOXO1"
"535","miR-26a-5p","PTEN"
"536","miR-421","RBMXL1"
"537","miR-421","CBX7"
"538","miR-503-5p","CCND1"
"539","miR-223-3p","RHOB"
"540","miR-199b-5p","SET"
"541","miR-21-5p","E2F2"
"542","miR-98-5p","E2F1"
"543","miR-98-5p","E2F2"
"544","miR-105-5p","TLR2"
"545","miR-346","BTK"
"546","miR-10a-5p","HOXA1"
"547","miR-130a-3p","MAFB"
"548","miR-17-5p","PKD2"
"549","miR-338-5p","LRP1"
"550","miR-545-3p","LRP1"
"551","miR-205-5p","LRP1"
"552","miR-19b-3p","NR3C2"
"553","miR-135a-5p","NR3C2"
"554","miR-124-3p","NR3C2"
"555","miR-200a-3p","CTNNB1"
"556","miR-23b-3p","PRAP1"
"557","miR-31-5p","FOXP3"
"558","miR-21-5p","FMOD"
"559","miR-21-5p","TGFBR2"
"560","miR-21-5p","PTEN"
"561","miR-21-5p","E2F1"
"562","miR-29a-3p","RAN"
"563","miR-125b-5p","VDR"
"564","miR-92a-3p","UVRAG"
"565","miR-433-3p","GRB2"
"566","miR-9-5p","RAB34"
"567","miR-133a-3p","CACNA1C"
"568","miR-133a-3p","HCN2"
"569","miR-1-3p","HCN2"
"570","miR-17-5p","BCL2L11"
"571","miR-155-5p","APC"
"572","miR-21-5p","TGFBI"
"573","miR-494-3p","PTEN"
"574","miR-27a-3p","PHB"
"575","miR-101-3p","FOS"
"576","miR-21-5p","LRRFIP1"
"577","miR-21-5p","MARCKS"
"578","miR-182-5p","RARG"
"579","miR-106a-5p","CDKN1A"
"580","miR-16-5p","CCND1"
"581","miR-16-5p","CCNE1"
"582","miR-15a-5p","CCND1"
"583","miR-15a-5p","CCNE1"
"584","let-7b-5p","CDC34"
"585","miR-605-5p","SEC24D"
"586","miR-34a-5p","WNT1"
"587","miR-34a-5p","AXIN2"
"588","miR-107","CDK6"
"589","miR-1-3p","YWHAQ"
"590","miR-1-3p","WDFY1"
"591","miR-1-3p","UNC93B1"
"592","miR-1-3p","UHRF1"
"593","miR-1-3p","TPM3"
"594","miR-1-3p","TPM2"
"595","miR-1-3p","TPM1"
"596","miR-1-3p","THBS1"
"597","miR-1-3p","SYNE1"
"598","miR-1-3p","SSNA1"
"599","miR-1-3p","SNX6"
"600","miR-1-3p","SLC25A22"
"601","miR-1-3p","SLC25A1"
"602","miR-1-3p","SH3BGRL3"
"603","miR-1-3p","SFXN1"
"604","miR-1-3p","SEC23IP"
"605","miR-1-3p","SAC3D1"
"606","miR-1-3p","RFT1"
"607","miR-1-3p","PWP1"
"608","miR-1-3p","PTPRF"
"609","miR-1-3p","HACD2"
"610","miR-1-3p","HACD3"
"611","miR-1-3p","PTMA"
"612","miR-1-3p","PTBP2"
"613","miR-1-3p","PTBP1"
"614","miR-1-3p","PRSS21"
"615","miR-1-3p","PPIB"
"616","miR-1-3p","POLA2"
"617","miR-1-3p","PICALM"
"618","miR-1-3p","PDLIM7"
"619","miR-1-3p","NRP1"
"620","miR-1-3p","NOTCH2"
"621","miR-1-3p","MTHFD2"
"622","miR-1-3p","MRC2"
"623","miR-1-3p","MOV10"
"624","miR-1-3p","MET"
"625","miR-1-3p","LRRC8A"
"626","miR-1-3p","LRP1"
"627","miR-1-3p","F2"
"628","miR-1-3p","ITGB4"
"629","miR-1-3p","IQGAP3"
"630","miR-1-3p","GPD2"
"631","miR-1-3p","GOLGA7"
"632","miR-1-3p","GNPNAT1"
"633","miR-1-3p","GAK"
"634","miR-1-3p","EHMT2"
"635","miR-1-3p","EHMT1"
"636","miR-1-3p","EGFR"
"637","miR-1-3p","DNAJB1"
"638","miR-1-3p","CTSC"
"639","miR-1-3p","CSRP1"
"640","miR-1-3p","CPOX"
"641","miR-1-3p","CORO1C"
"642","miR-1-3p","COIL"
"643","miR-1-3p","CDCP1"
"644","miR-1-3p","CAND1"
"645","miR-1-3p","BRI3BP"
"646","miR-1-3p","BCKDHB"
"647","miR-1-3p","ATP6V0A1"
"648","miR-1-3p","ASH2L"
"649","miR-1-3p","ARID2"
"650","miR-1-3p","ARID1A"
"651","miR-1-3p","AP3D1"
"652","miR-1-3p","AP3B1"
"653","miR-1-3p","ANXA2"
"654","miR-1-3p","ANPEP"
"655","miR-1-3p","ANP32B"
"656","miR-1-3p","AGRN"
"657","miR-1-3p","AGMAT"
"658","miR-1-3p","ADPGK"
"659","miR-1-3p","ABHD11"
"660","miR-16-5p","ZNF622"
"661","miR-16-5p","YIF1B"
"662","miR-16-5p","VTI1B"
"663","miR-16-5p","UTP15"
"664","miR-16-5p","UBE4A"
"665","miR-16-5p","UBE2V1"
"666","miR-16-5p","UBE2S"
"667","miR-16-5p","TXN2"
"668","miR-16-5p","TPM3"
"669","miR-16-5p","TOMM34"
"670","miR-16-5p","TNFSF9"
"671","miR-16-5p","TMEM43"
"672","miR-16-5p","TMEM109"
"673","miR-16-5p","SRPRB"
"674","miR-16-5p","SRPRA"
"675","miR-16-5p","SQSTM1"
"676","miR-16-5p","SPTLC1"
"677","miR-16-5p","SLC7A1"
"678","miR-16-5p","SLC38A5"
"679","miR-16-5p","SLC38A1"
"680","miR-16-5p","SLC25A22"
"681","miR-16-5p","SLC16A3"
"682","miR-16-5p","SLC12A2"
"683","miR-16-5p","SHOC2"
"684","miR-16-5p","SERPINE2"
"685","miR-16-5p","SEC24A"
"686","miR-16-5p","RTN4"
"687","miR-16-5p","RFT1"
"688","miR-16-5p","RARS"
"689","miR-16-5p","RAB30"
"690","miR-16-5p","PURA"
"691","miR-16-5p","PTGS2"
"692","miR-16-5p","PSAT1"
"693","miR-16-5p","PPP2R5C"
"694","miR-16-5p","PPIF"
"695","miR-16-5p","PLK1"
"696","miR-16-5p","PISD"
"697","miR-16-5p","PHLDB2"
"698","miR-16-5p","PANX1"
"699","miR-16-5p","PAFAH1B2"
"700","miR-16-5p","NPR3"
"701","miR-16-5p","NOTCH2"
"702","miR-16-5p","NAPG"
"703","miR-16-5p","MRPL20"
"704","miR-16-5p","MLLT11"
"705","miR-16-5p","MLLT1"
"706","miR-16-5p","LYPLA2"
"707","miR-16-5p","LUZP1"
"708","miR-16-5p","LAMC1"
"709","miR-16-5p","KPNA3"
"710","miR-16-5p","KCNN4"
"711","miR-16-5p","ITGA2"
"712","miR-16-5p","IPO4"
"713","miR-16-5p","IGF2R"
"714","miR-16-5p","IFRD2"
"715","miR-16-5p","IFRD1"
"716","miR-16-5p","HMOX1"
"717","miR-16-5p","HSPA1A"
"718","miR-16-5p","HSPA1B"
"719","miR-16-5p","LAMTOR5"
"720","miR-16-5p","HARS2"
"721","miR-16-5p","HARS"
"722","miR-16-5p","GSTM4"
"723","miR-16-5p","GPAM"
"724","miR-16-5p","GNL3L"
"725","miR-16-5p","GFPT1"
"726","miR-16-5p","GFM1"
"727","miR-16-5p","GALNT7"
"728","miR-16-5p","FNDC3B"
"729","miR-16-5p","FGF2"
"730","miR-16-5p","EIF4E"
"731","miR-16-5p","EGFR"
"732","miR-16-5p","DNAJB4"
"733","miR-16-5p","CHORDC1"
"734","miR-16-5p","CDK5RAP1"
"735","miR-16-5p","CACNA2D1"
"736","miR-16-5p","CA12"
"737","miR-16-5p","ATG9A"
"738","miR-16-5p","SNX15"
"739","miR-16-5p","ARL2"
"740","miR-16-5p","ARHGDIA"
"741","miR-16-5p","ADSS"
"742","miR-16-5p","ACP2"
"743","miR-16-5p","ABHD10"
"744","miR-16-5p","ABCF2"
"745","miR-16-5p","F2"
"746","miR-155-5p","WDFY1"
"747","miR-155-5p","VAMP3"
"748","miR-155-5p","UBE2J1"
"749","miR-155-5p","TXNRD1"
"750","miR-155-5p","TXNDC12"
"751","miR-155-5p","TRIP13"
"752","miR-155-5p","TRIM32"
"753","miR-155-5p","TRAM1"
"754","miR-155-5p","TNFRSF10A"
"755","miR-155-5p","TBCA"
"756","miR-155-5p","TACSTD2"
"757","miR-155-5p","SYPL1"
"758","miR-155-5p","SYNE2"
"759","miR-155-5p","SNAP29"
"760","miR-155-5p","SMAD1"
"761","miR-155-5p","SLC30A1"
"762","miR-155-5p","SH3BP4"
"763","miR-155-5p","SDCBP"
"764","miR-155-5p","SCAMP1"
"765","miR-155-5p","RHEB"
"766","miR-155-5p","RCOR1"
"767","miR-155-5p","RCN2"
"768","miR-155-5p","RAI14"
"769","miR-155-5p","RAB6A"
"770","miR-155-5p","RAB5C"
"771","miR-155-5p","RAB34"
"772","miR-155-5p","RAB27B"
"773","miR-155-5p","RAB23"
"774","miR-155-5p","PTPRJ"
"775","miR-155-5p","PRKCI"
"776","miR-155-5p","PRAF2"
"777","miR-155-5p","PPP5C"
"778","miR-155-5p","PPL"
"779","miR-155-5p","POLE4"
"780","miR-155-5p","POLE3"
"781","miR-155-5p","PODXL"
"782","miR-155-5p","PLXND1"
"783","miR-155-5p","PKN2"
"784","miR-155-5p","PICALM"
"785","miR-155-5p","PHC2"
"786","miR-155-5p","PDLIM5"
